                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2126,                 1.1043,                 1.3108,                0.77869,                0.62987,                0.73615,                0.45811,                 1.0084,                0.79535,                 1.1456,             0.00087484,             0.00087484,             0.00087484
                     51,                  1.201,                 1.0964,                 1.3031,                0.73681,                  0.642,                 0.7153,                0.44725,                 1.0102,                0.78896,                 1.1491,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.2064,                 1.0885,                 1.3016,                0.72381,                0.66077,                0.73867,                0.46418,                0.99938,                0.78006,                 1.1444,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.1993,                 1.0938,                 1.3065,                0.76721,                0.64593,                0.73936,                0.46257,                0.99814,                 0.7743,                 1.1368,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.1835,                 1.0834,                 1.2852,                0.75967,                 0.6727,                0.75375,                0.47183,                0.98591,                0.76429,                 1.1323,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.1702,                 1.0931,                 1.2812,                 0.7579,                0.63061,                0.71864,                0.43861,                0.98855,                 0.7624,                 1.1291,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.1734,                 1.0734,                 1.2812,                0.76495,                0.64487,                 0.7364,                0.46788,                0.97455,                0.74717,                 1.1183,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.1755,                 1.0528,                 1.2833,                0.75199,                0.65591,                 0.7485,                 0.4826,                0.95435,                0.74539,                 1.1097,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.1641,                 1.0433,                 1.2818,                0.75248,                 0.6444,                0.73695,                0.47094,                0.95821,                0.74345,                 1.1128,             0.00074282,             0.00074282,             0.00074282
                     59,                  1.167,                 1.0416,                 1.2795,                0.78044,                0.63178,                0.74246,                0.47445,                0.95423,                0.72633,                 1.1053,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.1603,                 1.0299,                 1.2661,                 0.7445,                0.66355,                0.75072,                0.48009,                  0.954,                0.72072,                 1.1018,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.1508,                 1.0285,                 1.2658,                 0.7807,                0.66853,                0.76802,                0.50051,                0.94681,                 0.7107,                 1.1038,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.1519,                 1.0254,                 1.2718,                 0.7606,                0.66855,                0.75761,                0.48336,                0.93718,                0.70275,                 1.0911,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.1459,                 1.0168,                 1.2618,                0.75673,                0.67665,                0.75245,                0.49098,                0.93715,                0.70509,                 1.0945,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.1478,                   1.02,                 1.2674,                0.76431,                 0.6853,                0.76987,                0.50366,                0.92972,                0.69363,                 1.0882,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.1422,                 1.0011,                 1.2579,                 0.7619,                0.69832,                0.76868,                 0.5042,                0.91412,                 0.6886,                 1.0814,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1351,                 1.0129,                 1.2546,                0.77996,                0.64624,                 0.7567,                0.48393,                0.92199,                0.69504,                 1.0839,             0.00061079,             0.00061079,             0.00061079
                     67,                  1.121,                0.98642,                  1.239,                0.73782,                0.67125,                0.73874,                0.48134,                0.91557,                0.68347,                 1.0771,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.1281,                0.97687,                 1.2452,                0.79763,                0.66417,                0.76971,                0.51049,                0.91007,                0.67004,                 1.0736,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1277,                 0.9786,                 1.2455,                0.78368,                 0.6861,                0.78052,                0.50768,                0.90225,                0.67035,                 1.0687,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.1199,                0.98058,                 1.2504,                0.77033,                0.70365,                0.78614,                0.51919,                0.89588,                0.65753,                 1.0638,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1121,                0.97837,                 1.2374,                0.78631,                 0.6664,                0.78047,                0.51518,                0.89786,                0.65974,                 1.0639,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1091,                0.96901,                 1.2361,                0.75866,                0.69867,                0.78611,                0.52193,                0.89273,                0.65644,                 1.0624,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.1085,                0.97463,                 1.2426,                0.76621,                0.68361,                0.77323,                0.51658,                 0.8891,                0.65449,                 1.0586,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.1035,                 0.9387,                 1.2323,                0.80979,                0.68679,                0.79341,                0.52876,                0.88329,                0.64433,                 1.0542,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.0903,                 0.9379,                 1.2268,                0.79908,                0.70919,                0.80773,                0.54308,                0.87344,                0.63549,                 1.0489,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.0874,                0.94012,                  1.223,                0.81554,                0.70125,                0.80119,                0.54612,                0.86936,                  0.633,                 1.0454,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.0894,                0.93874,                 1.2248,                0.80379,                0.69381,                0.80603,                0.54694,                0.86509,                 0.6325,                 1.0452,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.0781,                0.93233,                 1.2231,                0.82532,                0.70228,                0.80707,                0.55061,                0.86118,                0.62796,                 1.0418,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.0794,                0.93807,                 1.2231,                0.80772,                0.71436,                0.81129,                0.55175,                0.85712,                0.62127,                 1.0389,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.0683,                0.91168,                 1.2183,                0.82079,                0.70858,                0.82019,                0.56476,                0.85352,                0.61609,                  1.036,             0.00037974,             0.00037974,             0.00037974
