                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.4366,                 2.0272,                 1.5385,                 0.6392,                0.54013,                0.61403,                0.33639,                 1.3446,                 1.6026,                 1.5008,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4969,                 1.9682,                 1.5943,                0.62854,                0.54634,                0.60282,                0.33941,                 1.3199,                 1.6194,                 1.4792,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4355,                 1.9388,                 1.5596,                0.67915,                0.57317,                0.64686,                0.37878,                  1.317,                  1.584,                 1.4723,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4432,                 1.9601,                 1.5811,                0.69466,                0.55122,                0.64234,                0.37453,                 1.3235,                 1.5441,                 1.4753,               0.000713,               0.000713,               0.000713
                     68,                 1.5165,                 1.9124,                 1.6062,                 0.6496,                0.56067,                0.61925,                0.34761,                 1.3469,                 1.5216,                 1.4897,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4716,                 1.8625,                 1.5893,                0.66728,                0.54786,                0.64324,                0.35618,                 1.3598,                 1.6024,                 1.4916,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4448,                 1.9192,                 1.5639,                0.59888,                0.57073,                0.62347,                0.36288,                 1.3224,                 1.5501,                 1.4617,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4933,                 1.8628,                 1.6113,                0.63605,                0.57561,                0.64414,                0.38245,                 1.2649,                 1.5161,                 1.4307,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3773,                 1.8783,                 1.4966,                0.64278,                 0.5878,                0.65108,                 0.3793,                 1.3105,                 1.5196,                 1.4543,               0.000614,               0.000614,               0.000614
                     73,                 1.4758,                 1.9178,                 1.5729,                0.68507,                 0.5571,                0.65065,                0.37733,                 1.2785,                 1.5538,                 1.4197,              0.0005942,              0.0005942,              0.0005942
                     74,                  1.409,                 1.8456,                 1.5259,                0.62518,                0.60732,                0.65581,                0.39024,                 1.2842,                  1.488,                 1.4331,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.407,                 1.8871,                  1.503,                 0.6118,                0.61951,                0.66862,                0.39378,                 1.2558,                  1.458,                 1.4168,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4502,                 1.9392,                  1.592,                0.64709,                0.61715,                0.67127,                0.40403,                 1.2215,                 1.4762,                 1.4074,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4013,                 1.7659,                 1.5411,                0.64162,                0.61463,                0.65229,                0.40088,                 1.2082,                 1.4477,                 1.3962,               0.000515,               0.000515,               0.000515
                     78,                 1.4028,                 1.7664,                 1.5412,                0.56676,                 0.6439,                0.62112,                0.36989,                 1.2566,                   1.57,                 1.4233,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4148,                 1.8063,                 1.5472,                0.64565,                 0.6122,                0.66648,                0.40894,                 1.2232,                 1.4313,                 1.3931,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3696,                 1.7877,                 1.5056,                0.70377,                0.56829,                0.66908,                0.41384,                  1.198,                 1.4347,                 1.3746,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3558,                 1.8298,                  1.487,                0.70558,                0.62683,                 0.7023,                0.43062,                  1.214,                 1.4356,                 1.3894,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4146,                 1.8212,                 1.5694,                0.72604,                    0.6,                0.70927,                0.44045,                 1.1792,                 1.4613,                 1.3638,               0.000416,               0.000416,               0.000416
                     83,                 1.3433,                 1.7761,                 1.4946,                 0.7067,                0.60732,                0.69408,                0.43109,                 1.1734,                 1.4168,                 1.3633,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.4357,                 1.7682,                   1.56,                 0.7368,                0.61951,                 0.7165,                0.44053,                 1.1795,                 1.3902,                 1.3612,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.4406,                 1.7733,                 1.5632,                0.71593,                 0.6122,                0.71408,                 0.4486,                 1.1814,                 1.3645,                 1.3746,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.2565,                  1.712,                 1.4311,                0.72541,                0.63659,                0.71764,                0.44658,                 1.1673,                 1.3595,                  1.366,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3723,                 1.7266,                 1.5117,                 0.7293,                0.62439,                0.72194,                0.45013,                 1.1495,                 1.3271,                 1.3464,               0.000317,               0.000317,               0.000317
                     88,                 1.4212,                 1.7594,                 1.5587,                0.73964,                0.64146,                0.73372,                0.45928,                 1.1528,                 1.3077,                 1.3429,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.3132,                  1.632,                 1.4889,                0.74911,                0.65366,                0.74187,                0.46438,                 1.1604,                 1.3229,                 1.3532,              0.0002774,              0.0002774,              0.0002774
                     90,                  1.309,                 1.6832,                 1.4611,                0.77637,                0.61811,                0.74922,                0.47205,                 1.1346,                 1.2773,                 1.3366,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1201,                 1.4474,                 1.2783,                0.75474,                0.59024,                0.72825,                0.45935,                 1.1885,                 1.3716,                  1.365,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0749,                 1.3594,                 1.2688,                0.74465,                0.64014,                0.74884,                0.47341,                 1.1448,                 1.2982,                 1.3359,               0.000218,               0.000218,               0.000218
                     93,                  1.039,                 1.2626,                 1.1838,                0.75407,                0.62439,                0.73656,                0.46641,                 1.1474,                 1.3077,                 1.3461,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0453,                 1.3673,                  1.225,                0.79593,                0.61707,                0.75753,                0.47808,                 1.1498,                 1.2935,                 1.3456,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0547,                 1.3547,                 1.2237,                0.81725,                0.61079,                0.76029,                0.48112,                 1.1334,                 1.2603,                 1.3295,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0551,                 1.3074,                 1.2203,                0.64886,                0.67805,                0.73678,                0.46988,                 1.1332,                 1.3025,                 1.3414,              0.0001388,              0.0001388,              0.0001388
                     97,                0.97151,                 1.2641,                 1.1325,                 0.6949,                0.66098,                0.74706,                0.47937,                  1.124,                 1.2824,                 1.3352,               0.000119,               0.000119,               0.000119
                     98,                0.98647,                 1.2661,                 1.1702,                0.74802,                0.68049,                0.77298,                0.49553,                 1.1198,                 1.2517,                 1.3304,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0287,                 1.2558,                 1.2155,                0.77056,                0.66829,                0.77547,                0.49796,                 1.1097,                 1.2295,                 1.3249,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0423,                 1.3104,                 1.2123,                0.72806,                0.69756,                0.77353,                0.49992,                 1.1004,                 1.2244,                 1.3173,               5.96e-05,               5.96e-05,               5.96e-05
